历史性能_NB覆盖等级-sjl_20190222094808,,,,,,,,,,,,,,,
测量类型:,[NB-IoT]覆盖等级 ,,,,,,,,,,,,,,
查询时间:,2019-02-21 00:00:00 - 2019-02-22 00:00:00,,,,,,,,,,,,,,
制表人:,xironghai,,,,,,,,,,,,,,
制表时间:,2019/2/22 9:48,,,,,,,,,,,,,,
序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,eNodeB,eNodeB名称,小区,小区名称,覆盖等级,请求,成功,用户数
34,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625449,本溪溪湖区鲍家625449FDD-ZLH(625449),625544,本溪溪湖区鲍家625544FDD-ZLH(625544),78,本溪溪湖区鲍家625544FDDN-ZLH-2(78),0,0,0,0
35,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),625449,本溪溪湖区鲍家625449FDD-ZLH(625449),625544,本溪溪湖区鲍家625544FDD-ZLH(625544),77,本溪溪湖区鲍家625544FDDN-ZLH-1(77),0,0,0,0
36,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),72,本溪溪湖区石桥子219329FDDN-ZLH-2(72),2,0,0,0
37,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),72,本溪溪湖区石桥子219329FDDN-ZLH-2(72),1,0,0,0
38,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),72,本溪溪湖区石桥子219329FDDN-ZLH-2(72),0,0,0,0
39,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),71,本溪溪湖区石桥子219329FDDN-ZLH-1(71),2,0,0,0
40,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),71,本溪溪湖区石桥子219329FDDN-ZLH-1(71),1,0,0,0
41,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),71,本溪溪湖区石桥子219329FDDN-ZLH-1(71),0,0,0,0
42,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),73,本溪溪湖区石桥子219329FDDN-ZLH-3(73),2,0,0,0
43,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),73,本溪溪湖区石桥子219329FDDN-ZLH-3(73),1,0,0,0
44,2019/2/21 0:00,2019/2/22 0:00,1天,112,本溪GNF(112),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),219329,本溪溪湖区石桥子219329FDD-ZLH(219329),73,本溪溪湖区石桥子219329FDDN-ZLH-3(73),0,0,0,0
